단어,빈도수
데까지,1
목을,1
조약돌이었다.,1
불어,1
“그리고,1
엄청나게,1
나,,1
말할,1
않으련?,1
힘에,1
내리붓고,1
햇빛이,1
순순히,1
않은,1
사내,1
멀개졌다.,1
그쳤다.,1
선뜻선뜻했다.,1
가려,1
좁은,1
내려다보았다.,1
소란스러워진,1
찢어져,1
원두막이,1
빗줄기.,1
떡갈나무,1
생각해,1
그러자,,1
날로,1
빗방울이었다.,1
땐,1
거기에,1
보이지,1
듣는,1
말이지.,1
빗방울,1
보랏빛으로,1
소리를,1
싸,1
이쪽을,1
옆의,1
휘어,1
생각했는지,1
새기,1
버린다.,1
발,1
바보.”,1
잠자코,1
흙탕물이었다.,1
떨었다.,1
가져다,1
겹저고리를,1
마타리꽃을,1
토요일이었다.,1
파아랗게,1
좀더,1
어디서,1
입술이,1
떠올리며,,1
달아오름을,1
네,1
일이,1
뭣들,1
삽시간에,1
건너면서,1
“내,,1
보더니,,1
바라보고,1
앓는,1
집에서,1
검붉은,1
“우리,,1
내려다본다.,1
들었,1
어딘가,1
났냐?”,1
아냐?”,1
넣었다.,1
문득,,1
나서,1
사업에,1
서울서,1
들어서,,1
이야기를,1
오기,1
내주게,1
거기서,1
집을,1
누가,1
눈과,1
이번에,1
알도,1
심었다는데,,1
증조(曾祖)할아버지가,1
내준다.,1
춘다.,1
줌을,1
대추를,1
된다.,1
송진을,1
모습은,1
지붕도,1
뒤로,1
구름,1
다다르기,1
않는다.”,1
돌려,1
지르며,1
속은,1
재미있는,1
올라,1
잠방이까지,1
업히었다.,1
있지?,1
죽기전에,1
수가,1
엉키어,1
소녀더러,1
있다.”,1
조약돌만,1
상당한,1
맞은,1
어쩐지,1
동안,1
두근거렸다.,1
원두막은,1
아닌가.,1
해쓱해져,1
그랬더니,,1
우,1
운동장을,1
반을,1
살피기도,1
손자(孫子)가,1
시간에,1
농부는,1
쉬는,1
집안일을,1
봐도,1
“야,,1
줄,1
그러쥐었,1
낫거들랑,1
좀처럼,1
시작한,1
밖을,1
조용히,1
동무들,1
꽃송이가,1
등나무,1
러지는,1
있었단다.,1
계집앤,1
“꼭,1
볼에,1
달고,1
끊어,1
대추,1
퍼뜨리고,1
냄새를,1
이끌어,1
만에,1
팔짝팔짝,1
했는지,1
그러다가,,1
가을걷이하는,1
스커트가,,1
입술을,1
뭐니?”,1
생채기에,1
입,1
내맺혔다.,1
핏방울이,1
무릎에,1
않느냐.,1
뉘우친다.,1
잘못했다고,1
곳을,1
모를,1
것을,1
마라.”,1
바위에,1
……참,,1
등꽃,1
아닌데,,1
놀던,1
5,1
초가집이,1
오순도순,1
골짜기에,1
건너는,1
나란히,1
건너편,1
버리지,1
하려는,1
싱싱한,1
않을,1
갑갑해서,1
걸어가는,1
떠올리,1
생채기에다,1
만지작거리며,1
진흙물,1
발돋움을,1
눈앞을,1
말라가는,1
햇살만이,1
바르고는,1
“하나도,1
빨기,1
송이,1
숨이,1
댔다.,1
곱다.”,1
이것만은,1
허수아비,1
“멀면,1
풀어,1
이사를,1
유달리,1
자랑스러웠다.,1
빠졌다.,1
타서,1
낼,1
재밌다!”,1
끌어안았다.,1
송아지를,1
앞에서,1
뛰어내렸다.,1
늘,1
도랑을,1
끊기,1
어제까지,1
올라왔다.,1
농부(農夫)하나가,1
바람이,1
“너희,,1
일인,1
수숫잎,1
못할,,1
하나의,1
업힌,1
편을,1
사면이,1
위에,1
장이,1
올라.”,1
소나기가,1
“저래,1
됐다.”,1
가거라.,1
“어서들,1
범벅이,1
긴,1
꾸지람을,1
어쩌느냐고,1
